name,role,presence,show,num_shows
 Christopher Thellas,Series Visual Effects by,"            Visualization Coordinator: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Christopher Young,Band Member #2,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Christos Parliaros,Series Visual Effects by,"            lead effects technical director: Weta Digital (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Christy Sumner,Series Special Effects by,"            special effects technician: Los Angeles (1 episode, 2021)          ",WandaVision                  (2021),35
 Chrystee Pharris,Series Additional Crew,            voice cast (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Chuck Hayward,['Series Writing Credits' 'Series Produced by'],"['            (written by) (1 episode, 2021)          '
 '            producer (8 episodes, 2021)          ']",WandaVision                  (2021),35
 Chuck McCourt,Series Art Department,"['            set dresser (uncredited) (unknown episodes)          '
 '            set dresser (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Ciara Brennan,Series Costume and Wardrobe Department,"            Costume illustrator / costume illustrator (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Cici Nicole,Saucy Songirl #3,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Cina McKenna,Series Stunts,"            stunt performer: Witch (1 episode, 2021)          ",WandaVision                  (2021),35
 Cindy Perez,Series Visual Effects by,"            compositor / digital compositor (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Cj Sykes,Flirty Man,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Claire Simond,Series Visual Effects by,"            digital matte painter: Folks (5 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Clara Sparkman,Series Art Department,"            art production assistant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Clare Higgins,Series Additional Crew,"            writers' production assistant / writer's production assistant (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Claude Daneau,Series Camera and Electrical Department,"            rigging electrician (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Claudia Rojas,Series Transportation Department,"            picture car dispatcher (1 episode, 2021)          ",WandaVision                  (2021),35
 Clayton Byers,Series Special Effects by,"['            special effects technician: Los Angeles unit (1 episode, 2021)          '
 '            special effects technician (8 episodes, 2019)          ']","['WandaVision                  (2021)'
 'Legion                  (2017–2019)']",2
 Cliff Saunders,Hammond,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Clint Fumanti,Series Location Management,"            location manager (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Clint Mahoney,Series Special Effects by,"            special effects technician (18 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Clint Mansell,Series Music by,"            (23 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Clinton Fegley,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Clotilde Delavennat,Series Additional Crew,            french language coach: navid negahban (uncredited) / french language coach: Navid Negahban (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Clément Liégeois,Series Visual Effects by,"            digital compositor: SSVFX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Coco Assad,Claire,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Cody Crawford,Series Transportation Department,"            transportation co-captain (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Cody Ray Thompson,Dave,"3 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Colby Lemmo,Series Stunts,"            stunt double: Amber Midthunder (1 episode, 2019)          ",Legion                  (2017–2019),35
 Cole Phen,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Coleman Davie,Series Location Management,"            location manager (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Colin De Rouin,Series Art Direction by,"            (8 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Colin Dorssers,Series Visual Effects by,"            digital compositor: Soho VFX (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Colin Dove,Series Editorial Department,"            dailies technician (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Colin Heath,Series Sound Department,"            sound utility: second unit (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Colin Hennessy,Series Visual Effects by,"            VFX Data Wrangler (9 episodes, 2021)          ",WandaVision                  (2021),35
 Colin Hoult,Series Camera and Electrical Department,"            director of photography: additional photography (5 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Colin Jones,Series Editorial Department,"            dailies assistant (1 episode, 2021)          ",WandaVision                  (2021),35
 Colin Mayne,Series Visual Effects by,"            3d concept artist (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Colin Woode,Series Art Department,"            stand-by carpenter (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Colleen Reynolds,Landlord,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Colm Feore,Reginald Hargreeves,"27 episodes, 2019-2020                        ",The Umbrella Academy                  (2019– ),46
 Colt Logan,Series Sound Department,"            boom operator: day player (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Colton Comans,Series Art Department,            set dresser (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Con Schell,Series Stunts,            co-stunt coordinator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Cong Wang,Series Visual Effects by,            visual effects artist (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Connie Parker,Series Makeup Department,"            key make-up (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Connor Laidman,Cherubic Boy,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Connor Murphy,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Conrad Layden,Series Camera and Electrical Department,"            Lighting Console Programmer (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Conrad Perry,Series Camera and Electrical Department,"            video playback supervisor (6 episodes, 2021)          ",WandaVision                  (2021),35
 Constance Bensen,Series Visual Effects by,"            Modeler (1 episode, 2021)          ",WandaVision                  (2021),35
 Constance Nava,Series Location Management,"['            key assistant location manager (7 episodes, 2019)          '
 '            key assistant location manager (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Cooper Dunn,Series Camera and Electrical Department,"            camera operator: additional camera (5 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Corey Gilbert,Series Location Management,"            key assistant location manager (9 episodes, 2021)          ",WandaVision                  (2021),35
 Corey Michael Lincoln,Series Stunts,"            stunt double: Joivan Wade (14 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Cormac Funge,Series Sound Department,"            supervising sound editor (1 episode, 2017)          ",Legion                  (2017–2019),35
